text_line,score
 wing raf   formation the  royal air force during  second world wars,0
th coast artillery regiment   coast artillery regiment   united states army,0
doubleviewcastingcom  susan has  bottom stretched ,1
   billboard hot  chart  may    us no    dutch top  chart no   australia  no    uk as well as charting  several other countries,0
shrima malati gaping  anus   boyfriend  porn producer jean marie corda ,1
 lictoria provisional designation  fb   hygiean asteroid from  outer regions   asteroid belt approximately  kilometers  miles  diameter,0
 piscium  distant star located over  lightyears away,0
perfect teen babe sucks cock  private casting ,1
hot lesbian babes spit down each other ,1
bangbros   god alexis texas what  amazing big ass you have dayum ,1
    valid fibonacci code words but      not,0
sextape  hard fuck porn videoscf ,1
ginger teen babysitter fucks sucks  swallows ,1
 reasons   studio album  worship artist matt redman,0
ass traffic double anal  this teens tight ass ,1
hot  passionate threesome ,1
goth whore pov sucking ,1
horny lily small dick humiliation ,1
wake up fuck   big boobed latina milf stepmom ,1
ex girlfriend   cums  gets cummed upon  cliplips free porn videos ,1
 reception depot   administrative unit   personnel service corps   south african army,0
 students live  msus  undergraduate halls one graduate hall  three apartment villages,0
argenta argentina masturbandose masturbate pussy finger anal tits ,1
big fat n knocks down  skinny little bitch  ,1
fuck me daddy mom isn   home cadey mercury ,1
 songs were submitted  svt   competition,0
 sekunden english  seconds   german film,0
 squadron raf   royal air force squadron that  active as  bomber unit  world war ii,0
freaks  cock lunch break creampies ,1
naughty schoolgirl plays  teacher  huge bbc ,1
bareback threesome gay homemade amateurs wwwstraightbaithimcom ,1
limit  selvaggia  hardcore threesome  double penetration  russian teen ,1
married phat booty wife renee rose husband ltee pounds that pussy ,1
  february crawford  born  irvine,0
   ship built   isle  man steam packet company  ,0
 strings orchestra   brand   highly successful easy listening symphonic music organization   discography exceeding  albums   creative lifetime  around  years beginning  ,0
 march two female officers were seriously injured   firebomb attack   police station  harare  government blamed  opposition movement  democratic change mdc,0
 horseferry road   headquarters   british television broadcaster channel ,0
 different teams   different drivers competed,0
 rebel fighters were killed during  attack,0
free hard core legal age teenager sex ,1
th new york volunteer infantry   infantry regiment   union army during  american civil war,0
big tit spanish babe deepthroats dick ,1
givemepink cute teen inserts  toy   butt whilst pleasuring  pussy  ,1
producersfun  mr producer fucks hot latina sophia leone ,1
free legal age teenager gorgeous porn ,1
sex  wicked babe ,1
 sea fm broadcasts from  central coast radio center  henry parry drive  gosford along  sister station gofm,0
  every sale  paid   metabrainz foundation  support musicbrainz development,0
this  why you come  columbia ,1
outdoor blowjob  stacy snake make stud blow  cum all over  tongue ,1
busty babe romi rain fucked hard  rough ,1
teen casey decided  drop out  spread  pussy instead ,1
 species have been recorded   indian subcontinent,0
 teams participated   preliminary round composing   groups   top  from each group advancing,0
  situated  newland kingston upon hull england,0
vixen dirty couple can  stop fucking ,1
 squadron rcaf   royal canadian air force squadron that  active during  second world war,0
 were killed  two car bombings  central baghdad,0
